Course Name,University / Industry Partner Name,Type of Content,Difficulty Level,Avg Total Learning Hours,Learning Hours-by instructor,Course Rating,Course URL,Course Description,Skills Learned,Scorable Skills,Specialization,Specialization URL,Subtitle Language,Course Language,ML Translation,Domain,Sub-Domain,Course ID,Specialization Ids,New Course,instructor,enrollment_count,Language_Flag
生成式 AI：瞭解基礎概念,Google Cloud,Course,BEGINNER,,3,,https://www.coursera.org/learn/gen-ai-unlock-foundational-concepts-zhtw,「生成式 AI：瞭解基礎概念」是生成式 AI 領導者學習路徑的第二門課程。在本課程中，您將瞭解 AI、機器學習和生成式 AI 的差異，以及各種資料類型如何協助生成式 AI 解決業務難題，進而掌握生成式 AI 的基本概念。您還能深入瞭解 Google Cloud 應對基礎模型限制的策略，以及開發、部署安全且負責任的 AI 技術時面臨的主要挑戰。,"Responsible AI, AI Security, Machine Learning, Data Ethics, Generative AI, Artificial Intelligence, Google Cloud Platform, Large Language Modeling, Data Quality","Responsible AI, AI Security, Machine Learning, Data Ethics, Generative AI, Artificial Intelligence, Google Cloud Platform, Large Language Modeling, Data Quality",Generative AI Leader,https://www.coursera.org/specializations/generative-ai-leader-zhtw,,Chinese (Traditional),,Computer Science,Software Development,pkodGZVcEfCghgr__zRXCw,mX2hiLKzS1KrhyoTAtqGwA,FALSE,Google Cloud Training,49,Others
Develop Code with Gemini in BigQuery,Google Cloud,Project,BEGINNER,,1,5,https://www.coursera.org/learn/googlecloud-develop-code-with-gemini-in-bigquery-l6l2o,"This is a self-paced lab that takes place in the Google Cloud console. In this lab you learn how to use Gemini code generation, explanation and suggestions in BigQuery.","SQL, Prompt Engineering, Debugging, Big Data, Gemini, Google Cloud Platform, Code Review","SQL, Prompt Engineering, Debugging, Big Data, Gemini, Google Cloud Platform, Code Review",,,,English,Spanish,Information Technology,Cloud Computing,pkGGJ4SKEe-L8RKezlgehQ,,FALSE,Google Cloud Training,91,English
Modernisasi Situs dengan AI Generatif di Google Cloud,Google Cloud,Course,BEGINNER,,4,,https://www.coursera.org/learn/modernisasi-situs-dengan-ai-generatif-di-google-cloud,"Tingkatkan pengalaman navigasi situs Anda menggunakan AI generatif untuk memberikan pengalaman penelusuran yang lebih baik bagi pengguna. Di kursus ini, Anda akan mempelajari cara menggunakan Vertex AI Search untuk memberikan pengalaman penelusuran generatif kepada pengguna situs Anda, sehingga mereka dapat menemukan konten yang ditawarkan oleh situs tersebut. Sebagai editor situs, Anda juga akan belajar cara menggunakan AI generatif untuk menerjemahkan dan meningkatkan kualitas konten dengan cepat dan efisien menggunakan saran.","Generative AI, Google Cloud Platform, Content Management, User Experience, AI Personalization, Information Architecture, Prompt Engineering, Web Content","Generative AI, Google Cloud Platform, Content Management, User Experience, AI Personalization, Information Architecture, Prompt Engineering, Web Content",,,Indonesian,Indonesian,,Computer Science,Software Development,pifv7xRbEfCk7gr_3iO-uQ,,FALSE,Google Cloud Training,3,Others
Apply Personalized AI Coaching with ChatGPT,EDUCBA,Course,BEGINNER,,4,,https://www.coursera.org/learn/apply-personalized-ai-coaching-chatgpt,"By the end of this course, learners will be able to apply prompt engineering techniques, analyze ethical considerations, evaluate AI-driven coaching challenges, and design personalized coaching interactions using ChatGPT Generative AI.

This course empowers learners to confidently use ChatGPT as a personalized coaching assistant for personal growth, life planning, and continuous improvement. Learners will explore how to configure ChatGPT efficiently, craft effective prompts, and leverage real-time feedback to produce meaningful, adaptive coaching conversations. The course also addresses responsible AI use by examining how ChatGPT handles sensitive topics, manages limitations, and supports ethical decision-making.

What makes this course unique is its balanced approach—combining practical hands-on strategies with critical thinking around ethics, bias, and future AI coaching trends. Rather than treating AI as a replacement for human judgment, the course positions ChatGPT as a collaborative tool that enhances reflection, goal-setting, and informed decision-making.

By completing this course, learners gain a future-ready skillset to responsibly apply generative AI in coaching contexts, improve self-development workflows, and stay ahead in the evolving landscape of AI-powered personalized learning.","Responsible AI, AI Personalization, Prompt Engineering, Ethical Standards And Conduct, Emotional Intelligence, LLM Application, ChatGPT, Coaching, Empathy, Constructive Feedback","Responsible AI, AI Personalization, Prompt Engineering, Ethical Standards And Conduct, Emotional Intelligence, LLM Application, ChatGPT, Coaching, Empathy, Constructive Feedback",Design and Apply Generative AI for HR Performance,https://www.coursera.org/specializations/generative-ai-hr-performance-specialization,English,English,,Data Science,Machine Learning,pgGOjdpkEfCZihIC4LWgUw,Sj29CqLiTwKdwQ9bC1-JLw,TRUE,EDUCBA,70,English
Practical AI and prompting for finance professionals,AI Business School,Course,INTERMEDIATE,2.180513163,10,5,https://www.coursera.org/learn/practical-ai-and-prompting-for-finance-professionals,"Welcome to the “Practical AI and prompting for finance professionals” — a unique, hands-on course designed to help you get practically trained on various job-specific AI use cases and technologies across various modalities. You will discover AI-powered tools to enhance your daily tasks, gaining immediate hands-on experience. 
 
You will: 
- Intensively practice and apply AI-driven finance-specific use cases—making AI a daily companion in your workflows and daily job routines. 
- Start to use AI technologies into your daily sales activities with hands-on exercises in interactive playgrounds and sandbox environments, increasing your confidence to experiment, iterate, and optimize AI-driven tools and technologies right in the course. 
- Master prompting techniques & discover prompting libraries for different Generative AI models  for example to craft high-impact financial forecasts, investor presentations, and risk assessments—unlocking new ways to derive data-driven insights and make informed strategic decisions.
- Get inspired by participating in a project to conceptualize a personalized AI use case for your job role.

Welcome to the unique “Practical AI and prompting for finance professionals” course. Just start your AI journey and discover all the fascinating opportunities opened up for you by Artificial Intelligence.","Generative AI, Prompt Engineering, AI Personalization, Artificial Intelligence, Ideation, Responsible AI, AI Product Strategy, ChatGPT, Sales, Business Transformation, Financial Forecasting, Sales Enablement, AI Workflows, Risking, LLM Application, Large Language Modeling, Innovation, AI Enablement, Finance","Generative AI, Prompt Engineering, AI Personalization, Artificial Intelligence, Ideation, Responsible AI, AI Product Strategy, ChatGPT, Sales, Business Transformation, Financial Forecasting, Sales Enablement, AI Workflows, Risking, LLM Application, Large Language Modeling, Innovation, AI Enablement, Finance",AI for Finance,https://www.coursera.org/specializations/ai-for-finance,English,English,"German, French, Arabic, Hungarian",Business,Business Strategy,paBjmJYqEfC0whK_moloMQ,ZFRE5jeVSlSn084byWeDmg,FALSE,AI Business School,1501,English
Creating Impactful Data Visualizations with Generative AI,Coursera,Course,INTERMEDIATE,1.066702906,5,4,https://www.coursera.org/learn/creating-impactful-data-visualizations-with-generative-ai,"1. Many believe that data visualization is just about making charts look pretty or adding colors to graphs. Others think that complex visuals always deliver deeper insights, or that anyone can create great visualizations with the right software. But here’s the reality: effective data visualization is about clarity, simplicity, and telling the right story without overwhelming your audience. Imagine being able to create visuals that not only look good but reveal key insights instantly – all with the power of Generative AI. [Grab the learners attention. This can be an interesting fact, statistic, or question that will engage the learner].

2. This course will help you cut through these misconceptions and equip you with tools and techniques to create impactful, accurate, and ethical data visualizations in less time than ever before. [insert main outcome]. 

3. By completing this course, you'll be able to use Generative AI to automate repetitive visualization tasks, create compelling data stories, and ensure ethical AI practices in your visualizations – skills you can start applying the very next day to make more insightful, efficient decisions in your work. [insert the tangible benefits of taking this course that learners would be able to apply the next day at work]

4. By the end of this 2-hour long course, you will be able to: 
- Recognize the key principles of using Generative AI in data visualization to enhance clarity and storytelling. 
- Apply Generative AI techniques and tools to automate common data visualization tasks, streamlining the development process. 
- Assess case studies to evaluate the effectiveness and ethical considerations of Generative AI in data visualization workflows.","Seaborn, Data Storytelling, Data-Driven Decision-Making, Data Presentation, Automation, Data Integrity, Data Visualization Software, Data Ethics, Plotly, Interactive Data Visualization, Generative AI, Prompt Engineering, Data Visualization, Matplotlib, Artificial Intelligence, Responsible AI","Seaborn, Data Storytelling, Data-Driven Decision-Making, Data Presentation, Automation, Data Integrity, Data Visualization Software, Data Ethics, Plotly, Interactive Data Visualization, Generative AI, Prompt Engineering, Data Visualization, Matplotlib, Artificial Intelligence, Responsible AI","AI-Powered Business Analysis: Excel, KPIs & GenAI; Modern Data Analytics with Python, Excel & Generative AI",https://www.coursera.org/specializations/ai-powered-business-analysis-excel-kpis-and-genai,English,English,"Spanish, Arabic, French, German, Hungarian",Data Science,Data Analysis,p_aOHv5AEe-ehwr_ziEUiw,TSjb_Vf8ReehfQM-3_1xJQ; Dm_zd2WUT5CJfKwOrVIt_A,FALSE,Dr. Beju Rao,541,English
Ethics of Artificial Intelligence,Politecnico di Milano,Course,BEGINNER,0.891529727,3,4.8,https://www.coursera.org/learn/ethics-of-artificial-intelligence,"The MOOC deals with  the ethical issues created, aggravated or transformed by AI. It is intended to give students a chance to reflect on the impact of AI on ethical, social and cultural aspects by focusing on the issues faced by and brought about by professionals in AI and information technologies. The MOOC will address these topics by means of case studies and examples analyzed by using the main ethical frameworks.

By actively participating in this MOOC, you will achieve different intended learning outcomes (ILOs).
- Acquire a broad perspective on the ethical impacts and societal implications of AI.
- Learn how to recognize and analyze ethical and social issues inherent in AI.
- Be able to understand how technical problems are connected to a social dimension within a socio-technical perspective.
- Be able to use critical skills in clarifying and ethically analyzing case-studies involving AI technologies.
- Be better prepared for professional life in an ethically and socially responsible way.

This MOOC was produced as part of the Edvance project – Digital Education Hub per la Cultura Digitale Avanzata. The project is funded by the European Union – Next Generation EU, Component 1, Investment 3.4 “Didattica e competenze universitarie avanzate"".","Social Impact, Social Studies, Responsible AI","Social Impact, Responsible AI",Artificial Intelligence: an Overview,https://www.coursera.org/specializations/artificial-intelligence-overview,English,English,"Italian, Turkish, Dutch, Korean, Arabic, French, Chinese (China), Greek, Portuguese (Brazil), Kazakh, Hindi, Uzbek, Indonesian, Spanish, Swedish, Thai, German, Polish, Japanese, Ukrainian, Russian",Computer Science,Algorithms,p_-Q0DicEeyeYA42DXbPkQ,D5-G_39lEeye0BJDMcVCxw,FALSE,Viola Schiaffonati,27318,English
Automating Sales Tasks with Zapier,Coursera,Guided Project,INTERMEDIATE,0.59101388,1,4.45,https://www.coursera.org/learn/automating-sales-tasks-zapier,"This project gives you easy access to time-saving tools used by entrepreneurs, business administrators, and department leaders. We’ll learn about how to use a tool called Zapier to automate a common business activity, responding to a new subscription on a website, and sharing the information with other departments.  

By the end of this project, you can use Zapier to automate a variety of tasks that will reduce errors and save you time. Saving you time at work will free up your time to devote to other interests.  If you’re already using Zapier you may find new apps to connect and tasks to automate. If you’re struggling, you’ll see solutions and tips that can make things easier. If you want more time in your life this project will help serve as your guide.

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.","Google Sheets, Automation, Business Process Automation, Email Automation, Gmail, Productivity Software, Order Fulfillment, Workflow Management, Operations Management, Sales Support","Google Sheets, Automation, Business Process Automation, Email Automation, Gmail, Productivity Software, Order Fulfillment, Workflow Management, Operations Management",Sales Excellence,https://www.coursera.org/specializations/sales-excellence,,English,Spanish,Business,Business Essentials,pYdUFmP8EeuW-BJwyZjLPQ,3J9ykFsRQkycSx-QDeT2KA,FALSE,Carmen Rojas,3317,English
NVIDIA: Fundamentals of NLP and Transformers,Whizlabs,Course,INTERMEDIATE,2.827784888,4,4.83,https://www.coursera.org/learn/nvidia-fundamentals-of-nlp-and-transformers,"NVIDIA: Fundamentals of NLP and Transformers Course is the third course of the Exam Prep (NCA-GENL): NVIDIA-Certified Generative AI LLMs - Associate Specialization. This course provides learners with foundational knowledge of Natural Language Processing (NLP) and practical skills for working with NLP pipelines and transformer models. It combines theoretical concepts with hands-on exercises to prepare learners for real-world NLP applications.

This course covers key NLP topics, including tokenization, text preprocessing techniques, and word embeddings, along with the challenges of handling textual data. Learners will also explore sequence models (RNN, LSTM, GRU) and transformer architectures, gaining practical insights into self-attention mechanisms and encoder-decoder models.

The course is structured into two modules, each comprising Lessons and Video Lectures. Learners will engage with approximately 3:00-3:30 hours of video content, covering both theoretical foundations and hands-on practice. Each module includes quizzes to reinforce learning and assess understanding.

Course Modules:
Module 1: Introduction to NLP: Concepts, Techniques, and Applications
Module 2: Sequence Models and Transformers

By the end of this course, a learner will be able to:

- Understand NLP fundamentals, key tasks, and real-world applications.
- Implement NLP techniques, including tokenization, word embeddings, and sequence models.
- Explore transformer architecture, self-attention mechanisms, and encoder-decoder models.

This course is intended for individuals interested in developing NLP expertise and working with transformer-based models. It is ideal for data scientists, machine learning engineers, and AI specialists seeking hands-on experience in modern NLP techniques.","Natural Language Processing, Embeddings, Transfer Learning, Machine Learning Methods, Data Pipelines, Artificial Neural Networks, Data Preprocessing, Unstructured Data, Recurrent Neural Networks (RNNs), Machine Learning","Natural Language Processing, Embeddings, Transfer Learning, Machine Learning Methods, Data Pipelines, Artificial Neural Networks, Data Preprocessing, Unstructured Data, Recurrent Neural Networks (RNNs), Machine Learning",Exam Prep (NCA-GENL): NVIDIA-Certified Generative AI LLMs,https://www.coursera.org/specializations/exam-prep-nca-genl-nvidia-certified-generative-ai-llms-associate,English,English,"Spanish, Arabic, French, German, Kazakh",Computer Science,Software Development,pYMSBuOUEe-mrRK-FPQYAw,74zIzj9UTJSb0SZ5l7VNhg,FALSE,Whizlabs Instructor,1374,English
Building RAG Systems with Open Models,Coursera,Course,INTERMEDIATE,,7,,https://www.coursera.org/learn/building-rag-systems-with-open-models,"The Building RAG Systems with Open Models course is designed for developers, engineers, and technical product builders who are new to Generative AI but already have intermediate machine learning knowledge, basic Python proficiency, and familiarity with development environments such as VS Code, and who want to engineer, customize, and deploy open generative AI solutions while avoiding vendor lock-in.

The course provides learners with the skills to design and implement retrieval-augmented generation (RAG) applications for real-world use cases. Learners start by exploring the fundamentals of RAG architecture, breaking down key components such as retrievers, rankers, generators, and orchestration layers, while learning design patterns for tasks like question answering, summarization, and knowledge synthesis. 

They then dive into embeddings and vector databases, comparing FAISS, ChromaDB, Milvus, and Pinecone, and applying indexing and chunking strategies to improve retrieval efficiency and semantic relevance. The final module brings all elements together to build production-ready RAG pipelines using LangChain and open LLMs, incorporating advanced retrieval methods, hallucination mitigation, and evaluation frameworks for accuracy and reliability. By the end, learners will have built a functional RAG application with configurable components, optimized for performance and equipped with robust evaluation metrics.","Embeddings, Vector Databases, LangChain, Information Architecture, Text Mining, Large Language Modeling, LLM Application, Prompt Engineering, Retrieval-Augmented Generation, Generative AI, Model Evaluation","Embeddings, Vector Databases, LangChain, Information Architecture, Text Mining, Large Language Modeling, LLM Application, Prompt Engineering, Retrieval-Augmented Generation, Generative AI, Model Evaluation",Open Generative AI: Build with Open Models and Tools,https://www.coursera.org/specializations/genai-build-open-models-and-tools,English,English,,Data Science,Machine Learning,pVOTeIOcEfCCSg698sr4dw,iw3GbtgqTySA7SrdBGNWzA,TRUE,Professionals from the Industry,85,English
Content Development and Management,Microsoft,Course,BEGINNER,6.306325703,34,4.75,https://www.coursera.org/learn/pr-content-development-and-management,"This course delves into the intricacies of Content Development and Management for Public Relations. You will learn about various PR content types and explore best practices for editing and proofreading to ensure message clarity and effectiveness. The course covers essential strategies for content management within PR, utilizing AI tools for content creation and automation to enhance efficiency and innovation. Additionally, you will develop a comprehensive content creation strategy, equipping you with the skills to craft impactful PR campaigns that align with organizational goals and engage target audiences effectively.

By the end of this course, you will be able to:
• Distinguish between different types of PR content based on their purpose and function within a PR campaign
• Apply editing and proofreading best practices to ensure the quality and effectiveness of PR content.
• Develop strategies for organizing and managing various types of PR content efficiently
• Explain how AI tools can be used to enhance content creation and automate specific content management processes within PR
• Create a content creation calendar that aligns with a PR strategy, effectively planning and scheduling content for optimal impact

By the end of this course, you will be adept at developing and managing high-quality PR content, using AI tools to streamline processes, and planning content that aligns with strategic PR goals","Content Development and Management, Content Creation, Editing, Content Management Systems, Proofreading, Content Management, Workflow Management, Content Strategy, Writing and Editing, Press Releases, AI Enablement, Blogs, Web Content, Marketing and Public Relations, Social Media Content, Public Relations","Content Development and Management, Content Creation, Editing, Content Management Systems, Proofreading, Content Management, Workflow Management, Content Strategy, Writing and Editing, Press Releases, AI Enablement, Blogs, Web Content, Social Media Content, Public Relations",Smarter Content and Communications with Microsoft Copilot; Microsoft Public Relations and Communications Associate; GenAI for Marketing and Customer Insights,https://www.coursera.org/specializations/smarter-content-and-communications-with-microsoft-copilot,"Spanish, Pushto, Kazakh, Uzbek, English",English,"Spanish, Pushto, Kazakh, Uzbek",Business,Business Essentials,pOwnvj46Ee-9Ig7qA4dB5w,7M1jTF7oT8KiiK7bQV0dMg; _A186LQQTba9kEbzCKE47g; Cg0f-8zjRZWM5CTazMb-JA,FALSE,Microsoft,5926,English
الذكاء الاصطناعي للجميع,DeepLearning.AI,Course,BEGINNER,4.186277351,6,4.78,https://www.coursera.org/learn/ai-for-everyone-ar,إن الذكاء الاصطناعي لا يقتصر على المهندسين فقط. إذا أردت أن تصبح مؤسستك أفضل في مجال استخدام الذكاء الاصطناعي، فإن هذه هي الدورة التدريبية المناسبة التي يمكنك دعوة الجميع، وبخاصة زملاؤك غير العاملين بالتكنولوجيا، للانضمام إليها. \n\nستتعلم في هذه الدورة:\n\n- المعنى الكامن وراء مصطلح الذكاء الاصطناعي، بما في ذلك الشبكات العصبية والتعلُّم الآلي والتعلُّم العميق وعلم البيانات\n- ما يمكن أن يفعله الذكاء الاصطناعي من الناحية الواقعية وما لا يمكنه فعله\n- كيفية اكتشاف فرص تطبيق الذكاء الاصطناعي على المشكلات داخل مؤسستك\n- شعور إنشاء مشاريع التعلُّم الآلي وعلم البيانات\n- كيفية العمل مع فريق الذكاء الاصطناعي وبناء إستراتيجية الذكاء الاصطناعي داخل شركتك\n- كيفية التعامل مع المناقشات الأخلاقية والمجتمعية المتعلقة بمجال الذكاء الاصطناعي\n\nعلى الرغم من كون هذه الدورة التدريبية غير تقنية إلى حدٍّ كبير، فإنه يمكن للمهندسين الانضمام إليها لتعلُّم جوانب العمل المتعلقة بالذكاء الاصطناعي.,"Artificial Intelligence, Machine Learning, Data Science, Responsible AI, Deep Learning, Data Ethics, Artificial Neural Networks, Business Analytics, Data Literacy, AI Enablement, AI Product Strategy","Artificial Intelligence, Machine Learning, Data Science, Responsible AI, Deep Learning, Data Ethics, Artificial Neural Networks, Business Analytics, Data Literacy, AI Enablement, AI Product Strategy",,,"Azerbaijani, Turkish, Dutch, Vietnamese, Urdu, Arabic, Korean, Hungarian, Greek, Portuguese (Brazil), Hindi, Uzbek, English, Thai, Chinese (Traditional), Japanese, Italian, French, Chinese (China), Kazakh, Indonesian, Spanish, Bengali, Pushto, Swedish, German, Polish, Ukrainian, Russian",Arabic,,Business,Business Strategy,pNps4rJAEemJBAqVtCK01g,,FALSE,Andrew Ng,56079,Others
Amazon Q for beginners: Software Development with GenAI,Coursera,Guided Project,INTERMEDIATE,0.798261332,1,5,https://www.coursera.org/learn/amazon-q-for-beginners-software-development-with-genai,"This Guided Project was created to help software developers seamlessly integrate Amazon Q into their workflow, enhancing their coding efficiency and accuracy. In this 1-hour long project-based course, you will learn how to set up Amazon Q in Visual Studio Code, utilize its chatting function, enhance the AI assistant by indexing your entire workspace, and leverage its capabilities to interact with AWS tools. You'll also apply these techniques to a new workspace, performing code explanations, suggestions, and utilizing Amazon Q's scanning feature to identify and fix errors and security concerns. To achieve this, you will create a fully functional development environment powered by Amazon Q by working through practical scenarios and real-world coding challenges. This project is unique because it offers hands-on experience with cutting-edge AI tools directly integrated into your development environment. To succeed in this project, you should have a basic understanding of coding, software development and familiarity with using IDEs.","Vulnerability Scanning, Development Environment, Amazon Web Services, Integrated Development Environments, Microsoft Visual Studio, Debugging, Web Applications, Software Development, TypeScript, AI Workflows, Code Review, AI Enablement","Vulnerability Scanning, Development Environment, Amazon Web Services, Integrated Development Environments, Microsoft Visual Studio, Debugging, Web Applications, Software Development, TypeScript, AI Workflows, Code Review, AI Enablement",,,,English,Spanish,Computer Science,Software Development,pMI4h2uMEe-CUA7-5BJkaw,,FALSE,Angela Tao,444,English
Work with Gemini Models in BigQuery - Français,Google Cloud,Course,INTERMEDIATE,,3,,https://www.coursera.org/learn/work-with-gemini-models-in-bigquery-fr,"Ce cours montre comment utiliser des modèles d'IA/de ML pour des tâches d'IA générative dans BigQuery. À travers un cas d'utilisation pratique faisant intervenir la gestion de la relation client, vous étudierez le workflow de résolution d'un problème métier à l'aide de modèles Gemini. Pour faciliter la compréhension, le cours fournit également des instructions détaillées tout au long du codage des solutions à l'aide de requêtes SQL et de Notebooks Python.","Python Programming, Artificial Intelligence and Machine Learning (AI/ML), SQL, Google Gemini, Model Deployment, Generative AI, Big Data, Workflow Management, Jupyter, Model Evaluation, Google Cloud Platform, Customer Relationship Management","Python Programming, Artificial Intelligence and Machine Learning (AI/ML), SQL, Google Gemini, Model Deployment, Generative AI, Big Data, Workflow Management, Jupyter, Model Evaluation, Google Cloud Platform, Customer Relationship Management",,,French,French,,Information Technology,Cloud Computing,pKGUVWxUEe-CUA7-5BJkaw,,FALSE,Google Cloud Training,17,Others
Gen AI for developers: Web development with Python & Copilot,Coursera,Guided Project,INTERMEDIATE,0.715542153,2,4.64,https://www.coursera.org/learn/gen-ai-for-developers-web-development-with-python--copilot,"This Guided Project ""Gen AI for Developers: Web Development with Python & CoPilot"" is for developers who wish to use Copilot to improve their daily work routine. In this 1 hour long project-based course, you will learn how to Set up copilot in VS code and understand how to use Copilot to learn new APIs, improve code security/quality, and write unit tests. To achieve this, we will use Python web development as an example; specifically, with the help of Copilot, we will create a simple web application using the JokeAPI, flask and simple frontend techniques. In order to be successful in this project, you need to have basic understanding of Python and web development.","Microsoft Copilot, Code Review, Unit Testing, Generative AI, Integrated Development Environments, Web Applications, Python Programming, Data Security, User Interface (UI), Front-End Web Development, Web Development, Flask (Web Framework)","Microsoft Copilot, Code Review, Unit Testing, Generative AI, Integrated Development Environments, Web Applications, Python Programming, Data Security, User Interface (UI), Front-End Web Development, Web Development, Flask (Web Framework)",,,"Italian, Turkish, Dutch, Oriya, Korean, French, Arabic, Chinese (China), Hungarian, Greek, Portuguese (Brazil), Hindi, English, Indonesian, Spanish, Swedish, Thai, German, Polish, Japanese, Ukrainian, Russian",English,"Italian, Turkish, Dutch, Korean, French, Arabic, Chinese (China), Hungarian, Greek, Portuguese (Brazil), Hindi, Indonesian, Spanish, Swedish, Thai, German, Polish, Japanese, Ukrainian, Russian",Computer Science,Mobile and Web Development,pHq4_5USEe6nXw7LGlIKPQ,,FALSE,Angela Tao,1766,English
Building multi-agent systems,Microsoft,Course,INTERMEDIATE,3.620994072,17,4,https://www.coursera.org/learn/microsoft-building-multiagent-systems,"This course is designed to elevate skilled developers into multi-agent system architects. You'll learn to design and implement collaborative AI systems. The course focuses on building scalable, production-ready systems, ensuring responsible AI, and applying enterprise security and integration patterns. You'll complete a project where specialized agents work together to solve a complex business problem.

By the end of this course, you will be able to:

- Design and document sophisticated multi-agent architectures for enterprise applications.

- Build and orchestrate multi-agent systems using the AutoGen framework.

- Implement enterprise-grade security with Azure Entra ID and integrate with SharePoint.

- Deploy and monitor multi-agent systems using Docker and understand Kubernetes requirements.

- Apply Microsoft's responsible AI principles.","Azure Active Directory, Agentic systems, AI Orchestration, Coordination, Kubernetes, Responsible AI, Containerization, Microservices, Enterprise Security, Application Deployment, Microsoft Azure, AI Workflows, System Monitoring, AI Security, Generative AI Agents, Microsoft 365, Scalability, Enterprise Architecture, Artificial Intelligence, Role-Based Access Control (RBAC)","Azure Active Directory, Agentic systems, AI Orchestration, Coordination, Kubernetes, Responsible AI, Containerization, Microservices, Enterprise Security, Application Deployment, Microsoft Azure, AI Workflows, System Monitoring, AI Security, Generative AI Agents, Microsoft 365, Scalability, Enterprise Architecture, Artificial Intelligence, Role-Based Access Control (RBAC)",Microsoft AI Agents: From Foundations to Applications,https://www.coursera.org/specializations/microsoft-ai-agents,English,English,,Computer Science,Design and Product,pHp9LoIvEfCPfgr__lXpzQ,_c2SM9ITRtGRiyxXZPtAjQ,FALSE,Microsoft,644,English
Gemini in Google Slides - 繁體中文,Google Cloud,Course,BEGINNER,,1,4,https://www.coursera.org/learn/gemini-in-google-slides-zhtw,Gemini 版 Google Workspace 是一項外掛程式，可讓客戶在 Google Workspace 使用生成式 AI 功能。這堂迷你課程會介紹 Gemini 的主要功能，並說明如何在 Google 簡報善用這些功能，提高生產力和效率。,"Generative AI, Presentations, Software Installation, Prompt Engineering, Gemini, Google Workspace, Infographics","Generative AI, Presentations, Software Installation, Prompt Engineering, Gemini, Google Workspace, Infographics",,,Chinese (Traditional),Chinese (Traditional),,Information Technology,Cloud Computing,pFiMABgZEe-psBLYSUo0SQ,,FALSE,Google Cloud Training,15,Others
GoHighLevel for Beginners: Voice AI Automated Appointments,Coursera,Guided Project,BEGINNER,0.867127566,2,5,https://www.coursera.org/learn/rudi-hinds-gohighlevel-for-beginners-voice-ai-automated-appointments,"Ever wondered how to create an AI voice assistant for seamless business communication? In this 2-hour project-based course, you will master configuring a Synthflow AI voice agent to automate outbound phone calls. You’ll integrate Synthflow with Twilio and GoHighLevel, creating workflows that handle calls and retrieve call transcripts effortlessly.

You will build a customized outbound AI phone assistant tailored to specific business needs. The project will guide you through configuring an AI voice agent, setting up conversation prompts, connecting a Twilio phone number, and creating workflow automation in GoHighLevel.

By completing this project, you'll gain hands-on experience in configuring AI voice agents, integrating multiple platforms, and automating business communication processes. This will enhance your technical skills and boost productivity in customer service operations.

This project is ideal for business professionals or developers with basic knowledge of APIs and workflow automation. No prior experience with Synthflow or GoHighLevel is needed.","Workflow Management, AI Workflows, Outbound Calls, Telephone Skills, Productivity Software, Automation, Customer Service, Operational Efficiency, AI Enablement, Systems Integration, Customer experience improvement","Workflow Management, AI Workflows, Telephone Skills, Productivity Software, Automation, Customer Service, Operational Efficiency, AI Enablement, Systems Integration, Customer experience improvement",,,,English,"Spanish, Hungarian",Data Science,Machine Learning,pFZx52q4Ee--dw7PPVphLw,,FALSE,Rudi Hinds,702,English
Build an AI Image Generator app using Imagen on Vertex AI,Google Cloud,Project,BEGINNER,0.444161619,1,4,https://www.coursera.org/learn/googlecloud-build-an-ai-image-generator-app-using-imagen-on-vertex-ai-7qygg,"This is a self-paced lab that takes place in the Google Cloud console. In this lab, you will learn how to use Google's Vertex AI SDK to interact with the pre-trained Image Generation AI model, enabling you to send text prompts to the AI model as an input for image generation and receive the image response generated by the AI model.","Image Analysis, Generative AI, Google Cloud Platform, Application Development, AI Enablement, Prompt Engineering, LLM Application","Image Analysis, Generative AI, Google Cloud Platform, Application Development, AI Enablement, Prompt Engineering, LLM Application",,,,English,Spanish,Information Technology,Cloud Computing,pFKmEUKIEe-xLxIpRr2Opw,,FALSE,Google Cloud Training,400,English
